Total Accesses:,7086622
Frames,Misses,Miss Rate
1,6136303,0.865900
2,4550986,0.642194
3,4263014,0.601558
4,4122525,0.581733
5,4036519,0.569597
6,3999792,0.564414
7,3983405,0.562102
8,3973193,0.560661
9,3966213,0.559676
10,3961651,0.559032
11,3958558,0.558596
12,3956433,0.558296
13,3954839,0.558071
14,3953694,0.557910
15,3952833,0.557788
16,3952184,0.557696
17,3951705,0.557629
18,3951299,0.557572
19,3950979,0.557526
20,3950704,0.557488
21,3950486,0.557457
22,3950325,0.557434
23,3950181,0.557414
24,3950063,0.557397
25,3949979,0.557385
26,3949893,0.557373
27,3949818,0.557363
28,3949768,0.557356
29,3949715,0.557348
30,3949674,0.557342
31,3949652,0.557339
32,3949630,0.557336
33,3949608,0.557333
34,3949586,0.557330
35,3949567,0.557327
36,3949543,0.557324
37,3949524,0.557321
38,3949508,0.557319
39,3949503,0.557318
40,3949496,0.557317
41,3949492,0.557317
42,3949485,0.557316
43,3949474,0.557314
44,3949470,0.557313
45,3949463,0.557312
46,3949457,0.557312
47,3949448,0.557310
48,3949440,0.557309
49,3949437,0.557309
50,3949435,0.557309
51,3949430,0.557308
52,3949425,0.557307
53,3949419,0.557306
54,3949418,0.557306
55,3949416,0.557306
56,3949415,0.557306
57,3949412,0.557305
58,3949404,0.557304
59,3949403,0.557304
60,3949398,0.557303
61,3949395,0.557303
62,3949394,0.557303
63,3949391,0.557302
64,3949391,0.557302
65,3949387,0.557302
66,3949385,0.557301
67,3949382,0.557301
68,3949381,0.557301
69,3949376,0.557300
70,3949372,0.557300
71,3949367,0.557299
72,3949363,0.557298
73,3949359,0.557298
74,3949355,0.557297
75,3949350,0.557297
76,3949346,0.557296
77,3949343,0.557296
78,3949342,0.557295
79,3949341,0.557295
80,3949340,0.557295
81,3949338,0.557295
82,3949337,0.557295
83,3949333,0.557294
84,3949329,0.557294
85,3949327,0.557293
86,3949325,0.557293
87,3949324,0.557293
88,3949318,0.557292
89,3949317,0.557292
90,3949316,0.557292
91,3949313,0.557291
92,3949312,0.557291
93,3949311,0.557291
94,3949308,0.557291
95,3949308,0.557291
96,3949307,0.557290
97,3949307,0.557290
98,3949307,0.557290
99,3949307,0.557290
100,3949307,0.557290
101,3949307,0.557290
102,3949307,0.557290
103,3949307,0.557290
104,3949307,0.557290
105,3949307,0.557290
106,3949307,0.557290
107,3949307,0.557290
108,3949307,0.557290
109,3949307,0.557290
110,3949307,0.557290
111,3949307,0.557290
112,3949307,0.557290
113,3949307,0.557290
114,3949307,0.557290
115,3949307,0.557290
116,3949307,0.557290
117,3949307,0.557290
118,3949307,0.557290
119,3949307,0.557290
120,3949307,0.557290
121,3949307,0.557290
122,3949306,0.557290
123,3949306,0.557290
124,3949306,0.557290
125,3949306,0.557290
126,3949306,0.557290
127,3949306,0.557290
128,3949306,0.557290
129,3949306,0.557290
130,3949306,0.557290
131,3949306,0.557290
132,3949306,0.557290
133,3949306,0.557290
134,3949306,0.557290
135,3949306,0.557290
136,3949306,0.557290
137,3949306,0.557290
138,3949306,0.557290
139,3949306,0.557290
140,3949306,0.557290
141,3949306,0.557290
142,3949306,0.557290
143,3949306,0.557290
144,3949306,0.557290
145,3949306,0.557290
146,3949306,0.557290
147,3949306,0.557290
148,3949306,0.557290
149,3949306,0.557290
150,3949306,0.557290
151,3949306,0.557290
152,3949306,0.557290
153,3949306,0.557290
154,3949306,0.557290
155,3949306,0.557290
156,3949306,0.557290
157,3949306,0.557290
158,3949306,0.557290
159,3949306,0.557290
160,3949306,0.557290
161,3949306,0.557290
162,3949306,0.557290
163,3949306,0.557290
164,3949306,0.557290
165,3949306,0.557290
166,3949306,0.557290
167,3949306,0.557290
168,3949306,0.557290
169,3949306,0.557290
170,3949306,0.557290
171,3949306,0.557290
172,3949306,0.557290
173,3949306,0.557290
174,3949306,0.557290
175,3949306,0.557290
176,3949306,0.557290
177,3949306,0.557290
178,3949306,0.557290
179,3949306,0.557290
180,3949306,0.557290
181,3949306,0.557290
182,3949306,0.557290
183,3949306,0.557290
184,3949306,0.557290
185,3949306,0.557290
186,3949306,0.557290
187,3949306,0.557290
188,3949306,0.557290
189,3949306,0.557290
190,3949306,0.557290
191,3949306,0.557290
192,3949306,0.557290
