Total Accesses:,7086622
Frames,Misses,Miss Rate
1,6188885,0.873319
2,4683848,0.660942
3,4424071,0.624285
4,4286642,0.604892
5,4210369,0.594129
6,4165967,0.587864
7,4142563,0.584561
8,4128412,0.582564
9,4120457,0.581442
10,4115621,0.580759
11,4112477,0.580316
12,4110308,0.580009
13,4108646,0.579775
14,4107416,0.579601
15,4106501,0.579472
16,4105801,0.579374
17,4105241,0.579294
18,4104833,0.579237
19,4104484,0.579188
20,4104180,0.579145
21,4103924,0.579109
22,4103713,0.579079
23,4103541,0.579055
24,4103391,0.579033
25,4103266,0.579016
26,4103157,0.579000
27,4103057,0.578986
28,4102989,0.578977
29,4102921,0.578967
30,4102858,0.578958
31,4102816,0.578952
32,4102778,0.578947
33,4102743,0.578942
34,4102712,0.578938
35,4102690,0.578935
36,4102660,0.578930
37,4102638,0.578927
38,4102612,0.578923
39,4102598,0.578922
40,4102586,0.578920
41,4102574,0.578918
42,4102565,0.578917
43,4102550,0.578915
44,4102540,0.578913
45,4102535,0.578913
46,4102528,0.578912
47,4102518,0.578910
48,4102512,0.578909
49,4102506,0.578909
50,4102494,0.578907
51,4102489,0.578906
52,4102486,0.578906
53,4102479,0.578905
54,4102473,0.578904
55,4102470,0.578903
56,4102469,0.578903
57,4102465,0.578903
58,4102455,0.578901
59,4102453,0.578901
60,4102446,0.578900
61,4102439,0.578899
62,4102436,0.578899
63,4102432,0.578898
64,4102432,0.578898
65,4102427,0.578897
66,4102425,0.578897
67,4102421,0.578897
68,4102420,0.578896
69,4102411,0.578895
70,4102406,0.578894
71,4102399,0.578893
72,4102395,0.578893
73,4102390,0.578892
74,4102376,0.578890
75,4102370,0.578889
76,4102362,0.578888
77,4102358,0.578888
78,4102355,0.578887
79,4102351,0.578887
80,4102349,0.578886
81,4102345,0.578886
82,4102341,0.578885
83,4102332,0.578884
84,4102322,0.578883
85,4102319,0.578882
86,4102313,0.578881
87,4102307,0.578880
88,4102294,0.578879
89,4102292,0.578878
90,4102291,0.578878
91,4102288,0.578878
92,4102283,0.578877
93,4102278,0.578876
94,4102269,0.578875
95,4102267,0.578875
96,4102264,0.578874
97,4102264,0.578874
98,4102261,0.578874
99,4102259,0.578874
